Sorbonam,Frequency
এই,28
ও,17
তিনি,14
কিছু,13
কোন,12
আমাদের,12
সব,10
যে,10
তাদের,9
পর,7
তারা,7
এর,7
যারা,4
তুমি,4
কে,4
এ,4
সে,3
যিনি,3
যা,3
ঐ,3
আমি,3
সকল,2
একে,2
তোমাকে,1
তাঁর,1
কেউ,1
কী,1
কি,1
ওরা,1
আমাকে,1
আমরা,1
স্বয়ং,0
সমুদয়,0
যেমন তেমন,0
যেই সেই,0
যাহারা,0
যাহা,0
যারাই,0
যাঁহা,0
যাঁরা,0
যত ততই,0
যত তত,0
যত,0
মোরা,0
মোর,0
মোদের,0
মদীয়,0
ভবদীয়,0
পরস্পর,0
নিজেনিজে,0
নিজে,0
নিজ,0
তোরা,0
তোর,0
তোমারি,0
তোমারই,0
তোমাদের,0
তোমাদিগকে,0
তোমা,0
তোমরা,0
তোদের,0
তোকে,0
তো,0
তুই,0
তাহারা,0
তাহাদের,0
তাহাদিগদের,0
তাহাকে,0
তাহাঁদের,0
তারাই,0
তাবৎ,0
তাদেরকে,0
তাঁরা,0
তাঁদেরকে,0
তাঁদের,0
তাঁকে,0
তা,0
তদীয়,0
তদিও,0
খোদ,0
কেহ,0
কীসেরদ্বারা,0
কীসেরথেকে,0
কীসে থেকে,0
কিসের,0
কিসে,0
কাহার,0
কাহা,0
কার,0
কা,0
ওদের,0
ওকে,0
ওঁদের,0
ওঁকে,0
ঐসব,0
এরা,0
এঁর,0
ইহারা,0
ইহাদের,0
ইহাকে,0
ইহা,0
ইনি,0
আমাদিগকে,0
আপসে,0
আপনি,0
আপনারা,0
আপনার,0
আপনাদের,0
আপনা,0
অপর,0
অন্য,0
