Sorbonam,Frequency
আমি,22
তুমি,18
কোন,12
তোমাদের,9
আমাদের,9
কি,8
তোমাকে,7
এই,7
আমাকে,6
যে,4
তাদের,4
ওরা,4
ওকে,4
সে,3
সব,3
যা,3
ওদের,3
তোমরা,2
তা,2
আমরা,2
পর,1
নিজে,1
কে,1
কী,1
ও,1
স্বয়ং,0
সমুদয়,0
সকল,0
যেমন তেমন,0
যেই সেই,0
যিনি,0
যাহারা,0
যাহা,0
যারাই ,0
যারা,0
যাঁহা,0
যাঁরা,0
যত ততই,0
যত তত,0
যত,0
মোরা,0
মোর,0
মোদের,0
মদীয়,0
ভবদীয়,0
পরস্পর,0
নিজেনিজে,0
নিজ,0
তোরা,0
তোর,0
তোমারি,0
তোমারই,0
তোমাদিগকে ,0
তোমাদিগকে,0
তোমা,0
তোদের,0
তোকে,0
তো,0
তুই,0
তিনি,0
তাহারা,0
তাহাদের,0
তাহাদিগদের,0
তাহাকে,0
তাহাঁদের,0
তারাই,0
তারা,0
তাবৎ,0
তাদেরকে,0
তাঁরা,0
তাঁর,0
তাঁদেরকে,0
তাঁদের,0
তাঁকে,0
তদীয়,0
তদিও,0
খোদ,0
কেহ,0
কেউ,0
কীসেরদ্বারা,0
কীসেরথেকে,0
কীসে থেকে,0
কিসের,0
কিসে,0
কিছু,0
কাহার,0
কাহা,0
কার,0
কা,0
ওঁদের,0
ওঁকে,0
ঐসব,0
ঐ,0
এরা,0
এর,0
একে,0
এঁর,0
এ,0
ইহারা,0
ইহাদের,0
ইহাকে,0
ইহা,0
ইনি,0
আমাদিগকে,0
আপসে,0
আপনি,0
আপনারা,0
আপনার,0
আপনাদের,0
আপনা,0
অপর,0
অন্য,0
