Sorbonam,Frequency
আমি,31
কী,13
এই,13
আমাকে,13
তো,11
কোন,9
যে,6
কেউ,6
কে,6
কিছু,6
সে,5
আমাদের,5
সব,4
তারা,4
তা,4
ও,4
যা,3
এর,3
আপনার,3
পর,2
তুমি,2
তিনি,2
তাদের,2
ওরা,2
ওকে,2
তোর,1
তোমাদের,1
তোমরা,1
তুই,1
কি,1
ঐ,1
এ,1
আপনি,1
স্বয়ং,0
সমুদয়,0
সকল,0
যেমন তেমন,0
যেই সেই,0
যিনি,0
যাহারা,0
যাহা,0
যারাই ,0
যারা,0
যাঁহা,0
যাঁরা,0
যত ততই,0
যত তত,0
যত,0
মোরা,0
মোর,0
মোদের,0
মদীয়,0
ভবদীয়,0
পরস্পর,0
নিজেনিজে,0
নিজে,0
নিজ,0
তোরা,0
তোমারি,0
তোমারই,0
তোমাদিগকে ,0
তোমাদিগকে,0
তোমাকে,0
তোমা,0
তোদের,0
তোকে,0
তাহারা,0
তাহাদের,0
তাহাদিগদের,0
তাহাকে,0
তাহাঁদের,0
তারাই,0
তাবৎ,0
তাদেরকে,0
তাঁরা,0
তাঁর,0
তাঁদেরকে,0
তাঁদের,0
তাঁকে,0
তদীয়,0
তদিও,0
খোদ,0
কেহ,0
কীসেরদ্বারা,0
কীসেরথেকে,0
কীসে থেকে,0
কিসের,0
কিসে,0
কাহার,0
কাহা,0
কার,0
কা,0
ওদের,0
ওঁদের,0
ওঁকে,0
ঐসব,0
এরা,0
একে,0
এঁর,0
ইহারা,0
ইহাদের,0
ইহাকে,0
ইহা,0
ইনি,0
আমাদিগকে,0
আমরা,0
আপসে,0
আপনারা,0
আপনাদের,0
আপনা,0
অপর,0
অন্য,0
